"sid","id","version","name","singer","lyricist","composer","album","bgd","video"
"79","79","1.0","愚人歌","银临,李常超","慕清明","银临","山色有无中","1","1"
"80","80","1.0","少女庄周","银临","颀鞍","IRiS七叶","山色有无中","1","1"
"81","81","1.0","我生于野","银临","Yoshi","银临,灰原穷","山色有无中","1","1"
"82","82","1.0","魄心","银临","怀袖","银临","山色有无中","1","1"
"83","83","1.0","幻海同游","银临","陈笑成","银临,灰原穷","山色有无中","1","1"
"84","84","1.0","折柳记","银临,施夏明","迟意","银临","山色有无中","0","1"
"85","85","1.0","你奔向春野","银临","商连","银临","山色有无中","1","1"
"86","86","1.0","小倩","银临","锦衣小盆友","银临","影视剧OST","1","1"
"87","87","1.0","山色有无中","银临","锦衣小盆友","银临","山色有无中","1","1"
"88","88","1.0","眉目如画","银临","刘安宜,吉他兔","银临","单曲集","0","0"
"89","89","1.0","天若灵犀","银临,小曲儿","紫梦知秋","银临","单曲集","0","0"
"90","90","1.0","十世镜","银临","嵯嵨","琴宇,lbg","游戏OST","0","1"
"91","91","1.0","邻里天涯","银临","乘物游心","Litterzy","游戏OST","0","0"
"92","92","1.0","雪舞","银临","曾怡,王星环","银临","单曲集","0","0"
"93","93","1.0","花鸟卷","银临","慕清明","银临","游戏OST","0","1"
"94","94","1.0","青原樱","银临","商连","银临","单曲集","0","1"
"95","95","1.0","晴川雪","银临","原晞","银临","游戏OST","1","1"
"96","96","1.0","千秋令","银临,KBShinya","慕清明","银临","单曲集","1","1"
"97","97","1.0","可不可以","银临","冉语优","于海航","单曲集","1","1"
"98","98","1.0","Emmm","银临","冉语优","陈亦洺","单曲集","0","0"
"99","99","1.0","孔雀辞","银临","慕清明","银临","单曲集","0","0"
"100","100","1.0","爱的停格","银临,灰原穷","灰原穷","灰原穷","单曲集","0","0"
"101","101","1.0","云川雪青","银临","锦衣小盆友","Acid","游戏OST","0","1"
"102","102","1.0","盗橘令","银临,不才,云の泣,Aki阿杰","邪叫教主","银临,1AN孙毅然,灰原穷","单曲集","1","1"
"103","103","1.0","长安幻世绘","银临","ediq","丢子,ediq","游戏OST","0","1"
"104","104","1.0","旧友","银临","陈笑成","银临","单曲集","0","0"
"105","105","1.0","弦外知音","银临,鬼卞","鬼卞","鬼卞","单曲集","0","0"
"106","106","1.0","徒然梦","银临","冉语优","银临","单曲集","0","0"
"107","107","1.0","青白","银临,黄诗扶","Vagary","黄诗扶","单曲集","0","1"
"108","108","1.0","山外云","银临","闻人有疾","陈若瑜","游戏OST","1","1"
"109","109","1.0","一场雨的瞬间","银临,蔡翊昇","成若颖,刘敏","潘成","影视剧OST","0","0"
"110","110","1.0","东风志","银临,慕寒","择荇","银临","单曲集","0","1"
"111","111","1.0","往岁乘霄","银临","果汁凉菜","jixwang,十音","游戏OST","1","1"
"112","112","1.0","山海侧","银临,HITA","若紫鸢","银临,灰原穷","单曲集","0","1"
"113","113","1.0","梦独吟","银临","月未落","藤田麻衣子","单曲集","0","0"
"114","114","1.0","暂借问","银临","冉语优","捞月亮的人","单曲集","0","0"
"115","115","1.0","半生时光","银临","芍杳","银临","单曲集","0","0"
"116","116","1.0","诛仙敕勒歌","银临","寰宇星景天","小旭乐团","游戏OST","0","0"
"117","117","1.0","情戒","银临,流浪的蛙蛙","未见钗头凤","银临","单曲集","0","0"
"118","118","1.0","远行歌","银临","嘉和绯苍","灰原穷","游戏OST","0","0"
"119","119","1.0","人间最值得","银临,李常超","见山","黄诗扶","游戏OST","0","1"
"120","120","1.0","一梦逍遥","银临","嵯嵨","银临","游戏OST","0","0"
"121","121","1.0","潜别离","银临,洪尘","予词","洪尘","单曲集","0","0"
"122","122","1.0","芳华旧","银临,蔡翊昇","琉璃夭,泉尘","银临","单曲集","0","1"
"123","123","1.0","故友","银临,意意","叶清眉","银临","单曲集","0","0"
"124","124","1.0","锦瑟长思","银临","七手","微风","单曲集","0","0"
"125","125","1.0","贺新谣","银临等...","原晞","徐一","单曲集","0","1"
"126","126","1.0","夏目的美丽日记","银临,奇然","予取予求","潮汐","游戏OST","0","1"
"127","127","1.0","生死劫","银临,五音Jw","梦殇碧落","潮汐","游戏OST","0","0"
